Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Agent phone number
Renters,95125,Lilah,Campos,11/12/1994,f,1776 Almaden Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 733-3049,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,1500,9624231,-1,$15.22,Joe Angelini,"435 Johnston St
Half Moon Bay,
CA 940191717",(650) 726-4818 
Renters,95112,Zachery,Stephens,2/4/1994,f,524 S 9th St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(925) 934-1117,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,2500,10107200,-1,$11.96,Angela Chen,"2021 The
Alameda Ste 330
San Jose, CA
951261148",(408) 243-8383 
Renters,94089,Gavin,Farmer,11/12/1994,f,1235 Wildwood Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(510) 886-0616,noah.ingram@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,5000,15525016,-1,$10.83,Anthony Mangiameli,"2845 Moorpark
Ave Ste 102
San Jose, CA
951283158",(408) 247-7833 
Renters,95035,Aron,Bryant,12/1/1993,m,440 Dixon Landing Rd,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(707) 766-9500,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,100,39143967,-1,$21.91,Thomas Truong,"Milpitas, CA",(408) 935-8888 
Renters,95112,Lily,Howell,11/12/1994,f,760 N 7th St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(619) 463-5393,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,100 / 250,41410656,-1,$23.63,Roger Tuma,"Milpitas, CA",(408) 573-3820 
Renters,95008,Lilah,Torres,11/18/1993,m,200 Hollis Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(510) 758-6874,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,250,65096941,-1,$22.30,Peter Chee,"San Jose, CA",(510) 386-6800 
Renters,95054,Alexander,Thomas,3/27/1994,f,1500 Vista Club Cir,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 333-9956,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,500,87035243,-1,$16.74,Lily Zhao,"San Jose, CA",(408) 398-4616
Renters,94086,Lila,Mcdaniel,7/31/1993,m,355 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 513-0086,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,750,93995298,-1,$15.80,Chiu Ling Lin,"San Jose, CA",(408) 657-3919
Renters,94089,Eliot,Henderson,4/5/1994,f,1235 Wildwood Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(707) 778-1221,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,1000,37351406,-1,$15.02,Anthony Mangiameli,"2845 Moorpark
Ave Ste 102
San Jose, CA
951283158",(408) 247-7833
Renters,95112,Kaleb,Hines,11/12/1994,m,760 N 7th St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(831) 240-0330,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,1500,,-1,,,,
Renters,95008,Lincoln,Mack,12/1/1993,m,1630 W Campbell Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 288-7368,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,2500,66488488,-1,$15.51,Oliver Huang,"San Jose, CA",(510) 493-6538 
Renters,95126,Elliott,Warren,3/3/1993,f,2050 Southwest Expy 126,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(831) 476-8897,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,300000,N,5000,97466285,-1,$13.31,Mike Fengyu Zhang,"San Jose, CA",(408) 449-4814
Renters,94086,Elliott,Peterson,3/27/1994,f,1035 Aster Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 957-5887,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,100,,-1,,,,
Renters,95008,Levi,Hill,3/27/1994,f,2275 S Bascom Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 492-9660,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,100 / 250,,-1,,,,
Renters,94087,Caleb,Boyd,11/18/1993,m,745 S Bernardo Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 287-3444,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,250,55835932,-1,$19.66,Svetlana Serebnitskaya,"Walnut Creek, CA",(925) 352-7447
Renters,95050,Lukas,Walsh,6/6/1994,f,2200 Monroe St,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 354-7317,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,500,11637307,-1,$18.41,Leny Bueno,"San Jose, CA",(408) 449-4871 
Renters,95134,Jaxon,Bates,11/18/1993,m,4343 Renaissance Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 952-3727,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,750,53942365,-1,$17.47,Daniel Youngs,"Milpitas, CA",(408) 262-5196
Renters,94086,Lydia,Hicks,12/1/1993,f,355 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(866) 575-9826,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,1000,37492993,-1,$16.69,Kyle Chuang,"San Jose, CA",(408) 564-0568 
Renters,94087,Dillan,Mckinney,4/5/1994,f,1032 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 931-6300,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,1500,93947678,-1,$15.75,John Williams,"San Jose, CA",(408) 227-2560 
Renters,95127,Leo,Thornton,3/8/1994,m,2601 Nuestra Castillo Ct,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(877) 713-3968,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,2500,63557393,-1,$15.71,Jose Manabat,"San Jose, CA",(408) 437-5456 
Renters,95134,Mila,Massey,3/8/1994,m,345 Village Center Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(707) 762-5126,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,500000,N,5000,54772208,-1,$12.61,Alex Medina,"San Jose, CA",(408) 453-3033
Renters,95123,Declan,Schwartz,3/8/1994,m,1045 Coleman Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 866-1005,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,100,89842055,-1,$26.39,Candice Salcedo,"San Jose, CA",(408) 224-7800 
Renters,94086,Nolan,Bennett,3/8/1994,m,718 Old San Francisco Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 565-9960,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,100 / 250,89105092,-1,$19.84,Qing Sun,"Artesia, CA",(562) 810-0500 
Renters,95051,Mason,Ortega,7/31/1993,f,1901 Halford Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 513-0086,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,250,36029025,-1,$16.53,Jianmei Quitt,"San Diego, CA",(858) 605-5780 
Renters,94304,Vivienne,Ray,7/31/1993,m,1600 Sand Hill Rd,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 821-7280,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,500,22048402,-1,$15.21,Charlie Porter,"Menlo Park, CA",(650) 327-1313 
Renters,94087,Kole,Velasquez,12/1/1993,f,1032 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(707) 745-3000,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,750,99727620,-1,$14.22,John Williams,"San Jose, CA",(408) 227-2560
Renters,94085,Lorelei,Crawford,12/1/1993,f,1257 Lakeside Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 658-6604,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,1000,98876911,-1,$13.39,Michael Short,"San Jose, CA",(408) 466-6586 
Renters,95126,Dillon,Burgess,3/3/1993,f,1201 Parkmoor Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 294-5333,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,1500,,-1,,,,
Renters,95112,Micah,Tran,11/12/1994,m,101 E San Fernando St 100,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 492-9660,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,2500,49671643,-1,$12.33,Roger Nguyen,"San Jose, CA",(408) 293-7250
Renters,94043,Felix,Cobb,11/18/1993,f,100 N Whisman Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 230-1996,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,100000,N,5000,52149647,-1,$10.83,Dennis Fulfer,"Citrus Heights, CA",(877) 315-3555 
Renters,94301,Leah,Leonard,6/6/1994,f,459 Hamilton Ave,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 453-6204,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,100,80448742,-1,$22.75,Jason Schram,"1731 Embarcadero Rd Ste 212
Palo Alto, CA 94303-3339",(650) 522-0027
Renters,95113,Daniel,Griffith,3/3/1993,f,360 S Market St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 749-0101,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,100 / 250,7114894,-1,$22.43,Mark Mead,"Clearlake Oaks, CA",(707) 998-0100 
Renters,95123,Madelynn,Gilbert,3/27/1994,f,150 Palm Valley Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 372-8336,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,250,1713999,-1,$23.19,Bin Lu,"San Jose, CA",(408) 728-9789
Renters,95126,Liam,Wolf,5/6/1994,f,1201 Parkmoor Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 866-1005,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,500,91528607,-1,$21.50,James Melin,"2130 The Alameda Ste 150
San Jose, CA 95126-1153",(408) 985-0500
Renters,95131,Jack,Cohen,2/4/1994,m,1600 Whitewood Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 285-1231,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,750,,-1,,,,
Renters,95134,Aria,Contreras,11/12/1994,f,150 Alicante Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 658-6604,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,1000,76577437,-1,$15.48,Michael Short,"2695 Moorpark Ave # 201
San Jose, CA 95128-4710",(408) 466-6586
Renters,95112,Gavin,Le,12/1/1993,m,524 S 9th St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(707) 823-1361,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,1500,68782467,-1,$16.10,Anthony Mangiameli,"2845 Moorpark Ave Ste 102
San Jose, CA 95128-3158",(408) 247-7833
Renters,95054,Emma,Gregory,12/1/1993,f,1500 Vista Club Cir,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 294-5333,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,2500,29547040,-1,$13.00,Lily Zhao,"1340 S De Anza Blvd Ste 203
San Jose, CA 95129-4644",(408) 398-4616
Renters,94041,Addison,Gonzales,3/8/1994,f,151 Calderon Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 931-6300,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,300000,N,5000,36904924,-1,$11.18,Lili Li,"1202 Kifer Rd Ste 168
Sunnyvale, CA 94086-5304",(650) 409-8999
Renters,95050,Jackson,Roman,4/5/1994,m,2200 Monroe St,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 354-4501,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,100,45731420,-1,$24.42,Leny Bueno,"2695 Moorpark Ave Ste 100f
San Jose, CA 95128-4710",(408) 449-4871
Renters,94086,Iris,Castro,11/18/1993,f,732 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(858) 693-1175,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,100 / 250,27602346,-1,$23.59,Fareh Khalid,"542 Lakeside Dr Ste 2e
Sunnyvale, CA 94085-4005",(408) 377-8070
Renters,95123,Sophie,Young,5/6/1994,m,150 Palm Valley Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(888) 492-9765,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,250,,-1,,,,
Renters,94086,Sawyer,Deleon,11/12/1994,m,555 E Washington Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 736-4963,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,500,42864810,-1,$18.96,Jianhong Zhou,"39812 Mission Blvd Ste 203
Fremont, CA 94539-3087",(510) 656-1009
Renters,94304,Charlotte,Walsh,3/27/1994,f,700 Clark Way,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 359-1333,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,750,10061765,-1,$17.97,John Kikes,"125 Railroad Ave Ste 200
Danville, CA 94526-3835",(925) 820-6661
Renters,94085,Chase,Hartman,3/3/1993,f,355 N Wolfe Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(925) 934-1117,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,1000,35219242,-1,$17.14,Jeffery Sundquist,"2695 Moorpark Ave # 106
San Jose, CA 95128-4710",(408) 449-4893
Renters,95051,Jaxon,Johnston,5/6/1994,f,3500 Granada Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 565-9960,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,1500,24198841,-1,$16.15,James Miao,"303 W Joaquin Ave Ste 210
San Leandro, CA 94577-3666",(510) 357-8080
Renters,95035,Everly,Lane,5/6/1994,f,555 S Park Victoria Dr,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(619) 443-1720,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,2500,92108198,-1,$14.66,Daniel Youngs,"1313 N Milpitas Blvd Ste 200
Milpitas, CA 95035-3182",(408) 262-5196
Renters,95111,Sienna,Johnston,3/8/1994,m,2600 Corde Terra Cir,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(844) 328-9442,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,1000,500000,N,5000,87202178,-1,$14.03,Diem Pham,"1900 Camden Ave
San Jose, CA 95124-2942",(408) 900-7200
Renters,95131,Madelyn,Patterson,11/18/1993,f,1600 Whitewood Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 779-8986,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,100,,-1,,,,
Renters,95054,Ezra,Cook,3/3/1993,m,1600 Nantucket Cir,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(619) 231-9600,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,100 / 250,,-1,,,,
Renters,94086,Jase,Weaver,12/1/1993,f,732 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 854-2651,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,250,,-1,,,,
Renters,95111,Juliet,Perry,3/8/1994,f,2600 Corde Terra Cir,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(707) 766-6881,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,500,25922000,-1,$17.44,Diem Pham,"1900 Camden Ave
San Jose, CA 95124-2942",(408) 900-7200
Renters,95125,Liam,Beck,5/6/1994,f,3200 Rubino Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(510) 841-2760,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,750,,-1,,,,
Renters,94041,Jase,Baldwin,3/8/1994,f,151 Calderon Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 334-1880,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,1000,,-1,,,,
Renters,95129,Jude,Flowers,5/6/1994,m,355 Kiely Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(510) 865-2875,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,1500,,-1,,,,
Renters,94087,Emily,Robbins,3/27/1994,m,902 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(760) 798-2632,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,2500,93767513,-1,$11.16,Yi Ju,"7337 Bollinger Rd Ste A
Cupertino, CA 95014-4329",(408) 996-7200
Renters,95037,Clare,Carroll,2/4/1994,m,16945 Del Monte Ave,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(619) 448-8282,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,100000,N,5000,,-1,,,,
Renters,94040,Jace,Carter,5/6/1994,m,234 Escuela Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(925) 686-1761,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,300000,N,100,24548545,-1,23,Jianhong Zhou,"39812 Mission Blvd Ste 203
Fremont, CA 94539-3087",(510) 656-1009
Renters,94085,Hudson,Wood,4/5/1994,f,355 N Wolfe Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 354-7317,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,300000,N,100 / 250,34916900,-1,22.18,Jeffery Sundquist,"San Jose, CA",(408) 449-4893
Renters,95051,Daphne,Sullivan,11/18/1993,m,1901 Halford Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 984-4767,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,300000,N,250,62752404,-1,18.87,Jianmei Quitt,"San Diego, CA",(858) 605-5780
Renters,95020,Clara,Kim,5/6/1994,m,7397 Monterey St,Gilroy,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 733-9095,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,28000,Keep default,2000,300000,N,500,36054895,-1,32.64,Albert Pinheiro,"Gilroy, CA",(408) 842-4619 
